scenario,kind,requests,ok_count,error_count,error_rate_percent,latency_avg_ms,latency_p95_ms,latency_p95_delta_ms_vs_baseline,cpu_percent_sample,cpu_sample_method,cpu_delta_percent_vs_baseline,memory_mb_sample,memory_current_mb_sample,memory_peak_delta_mb,memory_delta_mb_vs_baseline,cross_region_reroutes,east_to_west_reroutes,west_to_east_reroutes,expected_cross_hits,expected_cross_eligible_requests,expected_cross_to_green_rate_percent,carbon_exposure_mean_g_per_kwh,carbon_exposure_mean_source,carbon_exposure_saved_g_per_kwh_vs_baseline,carbon_exposure_saved_percent_vs_baseline,co2e_estimated_total_g,co2e_saved_g_vs_baseline,co2e_saved_percent_vs_baseline
carbon_first,rilot_mode,3000,2974,26,0.8666666666666666,107.57794226597373,134.34779201634228,48.36375004379079,0.6335160223876948,cgroup_delta,-0.27584183191259415,9.33203125,9.17578125,1.9765625,0.44921875,1488,1488,0,1488,1500,99.2,225.0184936112979,request_headers,122.45435092366478,35.241416084629726,0.047241899999999996,0.014242290000000012,23.164150003439925
balanced,rilot_mode,3000,2940,60,2.0,78.32406012607196,93.92825001850724,7.944208045955747,0.7492640273427609,cgroup_delta,-0.16009382695752805,8.7109375,7.68359375,0.94140625,-0.171875,0,0,0,0,1500,0.0,236.36054421768708,request_headers,111.11230031727561,31.977261551469383,0.045209150000000003,0.016275040000000005,26.47028447475685
latency_first,rilot_mode,3000,2967,33,1.0999999999999999,74.56262648674117,89.77341599529609,3.789374022744596,0.7903766756250912,cgroup_delta,-0.11898117867519775,9.19921875,8.2578125,1.10546875,0.31640625,0,0,0,0,1500,0.0,347.4603977081227,request_headers,0.012446826840005087,0.0035821005974332157,0.06327332,-0.001789129999999986,-2.909902529414449
carbon_first_provider_timeout,rilot_mode,3000,2928,72,2.4,92.91253718083802,123.3805000083521,37.396458035800606,0.9031081173429094,cgroup_delta,-0.006249736957379515,7.9296875,7.05859375,0.0,-0.953125,1462,0,1462,0,1500,0.0,280.0,request_headers,67.47284453496269,19.418163346049212,0.04763709,0.013847100000000008,22.521399403651582
explicit_cross_region_to_green,rilot_mode,3000,2976,24,0.8,108.99924506410025,140.66066598752514,54.67662401497364,0.6235951257995391,cgroup_delta,-0.2857627285007498,9.01171875,8.8203125,1.96875,0.12890625,1487,1487,0,1487,1500,99.13333333333333,225.0184811827957,request_headers,122.45436335216698,35.24141966145663,0.04768012,0.013804070000000009,22.451413932589837
baseline_no_carbon_strict_local,rilot_mode,3000,2952,48,1.6,72.78881489027602,86.5832080016844,0.5991660291329026,0.7598258591667073,cgroup_delta,-0.14953199513358162,7.55859375,5.7265625,0.0,-1.32421875,0,0,0,0,1500,0.0,347.4830623306233,request_headers,-0.01021779566059422,-0.0029406026460194663,0.06177992,-0.00029572999999999405,-0.4809854370692596
baseline_no_carbon_latency_first,rilot_mode,3000,2949,51,1.7000000000000002,74.06398867247238,86.96087502175942,0.9768330492079258,0.8724665498914301,cgroup_delta,-0.036891304408858794,8.984375,9.09375,1.79296875,0.1015625,0,0,0,0,1500,0.0,347.46015598507967,request_headers,0.01268854988302337,0.003651666621604627,0.06277956,-0.0012953699999999901,-2.106834293498849
baseline_no_carbon_balanced,rilot_mode,3000,2946,54,1.7999999999999998,72.57489134218001,85.9840419725515,0.0,0.9093578543002889,cgroup_delta,0.0,8.8828125,7.5625,2.375,0.0,0,0,0,0,1500,0.0,347.4728445349627,request_headers,0.0,0.0,0.06148419000000001,0.0,0.0
