scenario,kind,requests,ok_count,error_count,error_rate_percent,latency_avg_ms,latency_p95_ms,latency_p95_delta_ms_vs_baseline,cpu_percent_sample,cpu_sample_method,cpu_delta_percent_vs_baseline,memory_mb_sample,memory_current_mb_sample,memory_peak_delta_mb,memory_delta_mb_vs_baseline,cross_region_reroutes,east_to_west_reroutes,west_to_east_reroutes,expected_cross_hits,expected_cross_eligible_requests,expected_cross_to_green_rate_percent,carbon_exposure_mean_g_per_kwh,carbon_exposure_saved_g_per_kwh_vs_baseline,carbon_exposure_saved_percent_vs_baseline,co2e_estimated_total_g,co2e_saved_g_vs_baseline,co2e_saved_percent_vs_baseline
carbon_first,rilot_mode,300,295,5,1.6666666666666667,44.11333004090314,54.429166950285435,1.4893750194460154,4.389423412568179,cgroup_delta,-0.44295805337918104,5.31640625,5.015625,0.171875,-0.57421875,78,78,0,0,150,0.0,346.4993519423,42.47646576886666,10.920078790195511,0.0034214700000000002,-0.00010736000000000035,-3.2394820932316777
balanced,rilot_mode,300,298,2,0.6666666666666667,40.71112653318172,53.13208303414285,0.19229110330343246,4.178691573250728,cgroup_delta,-0.6536898926966312,5.62109375,5.09375,0.05859375,-0.26953125,43,43,0,0,150,0.0,363.96755091859995,25.0082667925667,6.429260034652475,0.0033096,4.5099999999996705e-06,0.13608480104763182
latency_first,rilot_mode,300,298,2,0.6666666666666667,30.230345857174445,36.113624926656485,-16.826167004182935,4.844087645450483,cgroup_delta,0.011706179503123693,5.71875,5.140625,0.0,-0.171875,141,0,141,141,150,94.0,449.4996349629334,-60.52381725176673,-15.559789194069795,0.0031151399999999997,0.00019897000000000014,6.003723473270354
carbon_first_provider_timeout,rilot_mode,300,297,3,1.0,30.433454161199432,36.89087484963238,-16.048917081207037,6.453148864174038,cgroup_delta,1.6207673982266781,5.58203125,5.109375,0.0,-0.30859375,159,11,148,148,150,98.66666666666667,424.8,-35.824182288833356,-9.209873893866211,0.00289498,0.00041912999999999976,12.646834293369857
explicit_cross_region_to_green,rilot_mode,300,294,6,2.0,37.76116425559545,51.15099996328354,-1.7887919675558805,4.2547001417644665,cgroup_delta,-0.5776813241828931,5.66015625,4.57421875,0.0,-0.23046875,0,0,0,0,150,0.0,385.8946803311667,3.081137379999973,0.7921154065900998,0.0032416,7.251000000000002e-05,2.1879177214998906
baseline_no_carbon_strict_local,rilot_mode,300,295,5,1.6666666666666667,37.99570655450225,51.453375024721026,-1.486416906118393,4.363657695598948,cgroup_delta,-0.4687237703484115,5.6328125,5.22265625,0.0,-0.2578125,0,0,0,0,150,0.0,387.26136201416665,1.7144556970000053,0.4407615123964008,0.00327455,3.955999999999968e-05,1.193683975486622
baseline_no_carbon_latency_first,rilot_mode,300,295,5,1.6666666666666667,38.08097071091955,51.33187514729798,-1.607916783541441,4.458341137082567,cgroup_delta,-0.3740403288647922,5.8515625,4.4765625,0.0,-0.0390625,0,0,0,0,150,0.0,388.1450872277,0.8307304834666525,0.21356867076079006,0.0032912799999999997,2.283000000000016e-05,0.6888727290283111
baseline_no_carbon_balanced,rilot_mode,300,298,2,0.6666666666666667,38.90717904937143,52.93979193083942,0.0,4.83238146594736,cgroup_delta,0.0,5.890625,4.19921875,0.0,0.0,0,0,0,0,150,0.0,388.97581771116666,0.0,0.0,0.00331411,0.0,0.0
