scenario,kind,requests,ok_count,error_count,error_rate_percent,latency_avg_ms,latency_p95_ms,latency_p95_delta_ms_vs_baseline,cpu_percent_sample,cpu_delta_percent_vs_baseline,memory_mb_sample,memory_delta_mb_vs_baseline,cross_region_reroutes,east_to_west_reroutes,west_to_east_reroutes,carbon_exposure_mean_g_per_kwh,carbon_exposure_saved_g_per_kwh_vs_baseline,carbon_exposure_saved_percent_vs_baseline,co2e_estimated_total_g,co2e_saved_g_vs_baseline,co2e_saved_percent_vs_baseline
baseline_no_carbon_balanced,rilot_mode,300,294,6,2.0,39.515591238159686,53.56725002638996,0.0,0.0,0.0,2.77,0.0,0,0,0,484.37644220333334,0.0,0.0,0.00363752,0.0,0.0
baseline_no_carbon_latency_first,rilot_mode,300,294,6,2.0,39.43180039214591,53.712999913841486,0.1457498874515295,0.0,0.0,2.777,0.007000000000000117,0,0,0,484.83238303789994,-0.4559408345666043,-0.09412944041882362,0.00362608,1.1440000000000148e-05,0.31449998900350096
baseline_no_carbon_strict_local,rilot_mode,300,299,1,0.33333333333333337,39.14264276390895,54.19983295723796,0.6325829308480024,0.0,0.0,2.805,0.03500000000000014,0,0,0,485.19809824180004,-0.8216560384666991,-0.1696317093228455,0.0035410999999999997,9.642000000000027e-05,2.65070707515011
latency_first,rilot_mode,300,294,6,2.0,31.984460964643706,40.280875051394105,-13.286374974995852,0.0,0.0,2.766,-0.0040000000000000036,136,0,136,817.9391450721666,-333.5627028688333,-68.86435297132165,0.0057483000000000005,-0.0021107800000000005,-58.02799709692319
carbon_first,rilot_mode,300,298,2,0.6666666666666667,30.75387375118832,37.36912505701184,-16.198124969378114,0.0,0.0,2.773,0.0030000000000001137,139,0,139,818.2179784494,-333.84153624606665,-68.92191840038443,0.005538319999999999,-0.0019007999999999994,-52.25538278827331
balanced,rilot_mode,300,293,7,2.3333333333333335,32.509285542182624,49.24329183995724,-4.323958186432719,0.0,0.0,3.266,0.496,113,0,113,766.1102210854333,-281.73377888209995,-58.164219878355006,0.00532429,-0.0016867699999999998,-46.37142888561437
carbon_first_provider_timeout,rilot_mode,300,297,3,1.0,39.1079519293271,53.94429201260209,0.37704198621213436,0.0,0.0,3.043,0.27300000000000013,0,0,0,450.0,34.37644220333334,7.097050807624263,0.00332286,0.00031466,8.650399173062967
