scenario,kind,requests,ok_count,error_count,error_rate_percent,latency_avg_ms,latency_p95_ms,latency_p95_delta_ms_vs_baseline,cpu_percent_sample,cpu_delta_percent_vs_baseline,cross_region_reroutes,east_to_west_reroutes,west_to_east_reroutes,carbon_exposure_mean_g_per_kwh,carbon_exposure_saved_g_per_kwh_vs_baseline,carbon_exposure_saved_percent_vs_baseline,co2e_estimated_total_g,co2e_saved_g_vs_baseline,co2e_saved_percent_vs_baseline
baseline_no_carbon_balanced,rilot_mode,300,298,2,0.6666666666666667,37.855255809457354,52.02070809900761,0.0,0.0,0.0,0,0,0,359.45988026796664,0.0,0.0,0.00300118,0.0,0.0
baseline_no_carbon_latency_first,rilot_mode,300,297,3,1.0,37.494509854974844,52.154750097543,0.13404199853539467,0.0,0.0,0,0,0,358.0970164849,1.3628637830666435,0.37914211234106826,0.0029563899999999997,4.479000000000028e-05,1.4924129842262137
baseline_no_carbon_strict_local,rilot_mode,300,297,3,1.0,38.077174616822354,52.40195896476507,0.38125086575746536,0.0,0.0,0,0,0,356.7607722567667,2.6991080111999395,0.7508787932572154,0.00300393,-2.750000000000148e-06,-0.0916306252873919
latency_first,rilot_mode,300,296,4,1.3333333333333335,37.44867821379254,51.87112488783896,-0.1495832111686468,0.0,0.0,0,0,0,355.45287270076665,4.007007567199992,1.1147301234877414,0.00294321,5.797000000000007e-05,1.9315735810581196
carbon_first,rilot_mode,300,296,4,1.3333333333333335,32.44312094136452,50.01220805570483,-2.0085000433027744,0.0,0.0,98,0,98,395.3856412216667,-35.925760953700035,-9.99437292610192,0.00286959,0.00013159,4.38460872056991
balanced,rilot_mode,300,296,4,1.3333333333333335,29.017375024656456,35.12066602706909,-16.900042071938515,0.0,0.0,140,0,140,412.98973557593337,-53.52985530796673,-14.891746825281812,0.00275611,0.00024507,8.165788123338153
