scenario,kind,requests,ok_count,error_count,error_rate_percent,latency_avg_ms,latency_p95_ms,latency_p95_delta_ms_vs_baseline,cpu_percent_sample,cpu_delta_percent_vs_baseline,memory_mb_sample,memory_delta_mb_vs_baseline,cross_region_reroutes,east_to_west_reroutes,west_to_east_reroutes,carbon_exposure_mean_g_per_kwh,carbon_exposure_saved_g_per_kwh_vs_baseline,carbon_exposure_saved_percent_vs_baseline,co2e_estimated_total_g,co2e_saved_g_vs_baseline,co2e_saved_percent_vs_baseline
baseline_no_carbon_balanced,rilot_mode,300,297,3,1.0,39.06673359296595,53.2022500410676,0.0,0.0,0.0,2.816,0.0,0,0,0,432.46583257776666,0.0,0.0,0.00455112,0.0,0.0
baseline_no_carbon_latency_first,rilot_mode,300,294,6,2.0,38.706621210246034,53.07475011795759,-0.12749992311000824,0.0,0.0,2.766,-0.04999999999999982,0,0,0,430.92398619200003,1.5418463857666325,0.3565244395323127,0.0044875900000000005,6.352999999999914e-05,1.3959201251559867
baseline_no_carbon_strict_local,rilot_mode,300,296,4,1.3333333333333335,38.98498777765781,53.21383289992809,0.011582858860492706,0.0,0.0,2.805,-0.010999999999999677,0,0,0,429.4279115252666,3.037921052500053,0.7024649865151531,0.00450367,4.744999999999923e-05,1.0426005027333762
latency_first,rilot_mode,300,293,7,2.3333333333333335,38.753048504392304,52.6209999807179,-0.5812500603497028,0.0,0.0,2.777,-0.0389999999999997,0,0,0,372.82565354966664,59.64017902810002,13.79072623439574,0.00414724,0.0004038799999999997,8.874299073634615
carbon_first,rilot_mode,300,297,3,1.0,38.254086371356,53.12908301129937,-0.07316702976822853,0.0,0.0,2.781,-0.0349999999999997,0,0,0,370.4933055194667,61.97252705829999,14.330040060946548,0.00403622,0.0005148999999999996,11.313698606057402
balanced,rilot_mode,300,296,4,1.3333333333333335,29.7196835023351,35.693708108738065,-17.508541932329535,0.0,0.0,3.094,0.278,149,0,149,113.4009601968,319.0648723809667,73.77805328091253,0.00076611,0.0037850099999999997,83.16656119812265
carbon_first_provider_timeout,rilot_mode,300,297,3,1.0,30.276314596800756,35.909750033169985,-17.292500007897615,0.0,0.0,2.844,0.028000000000000025,147,0,147,120.0,312.46583257776666,72.25214318441644,0.000815,0.00373612,82.09232013218724
