scenario,kind,requests,ok_count,error_count,error_rate_percent,latency_avg_ms,latency_p95_ms,latency_p95_delta_ms_vs_baseline,cpu_percent_sample,cpu_sample_method,cpu_delta_percent_vs_baseline,memory_mb_sample,memory_current_mb_sample,memory_peak_delta_mb,memory_delta_mb_vs_baseline,cross_region_reroutes,east_to_west_reroutes,west_to_east_reroutes,carbon_exposure_mean_g_per_kwh,carbon_exposure_saved_g_per_kwh_vs_baseline,carbon_exposure_saved_percent_vs_baseline,co2e_estimated_total_g,co2e_saved_g_vs_baseline,co2e_saved_percent_vs_baseline
baseline_no_carbon_balanced,rilot_mode,10,10,0,0.0,39.39666680525988,54.96650002896786,0.0,6.8672088101615865,cgroup_delta,0.0,5.46875,3.9609375,0.1640625,0.0,0,0,0,365.0,0.0,0.0,0.00010886000000000001,0.0,0.0
baseline_no_carbon_latency_first,rilot_mode,10,10,0,0.0,37.49983354937285,50.16879201866686,-4.797708010300994,7.211464136659836,cgroup_delta,0.3442553264982493,5.15234375,4.41015625,0.0,-0.31640625,0,0,0,365.0,0.0,0.0,0.00010264,6.220000000000005e-06,5.71376079367996
baseline_no_carbon_strict_local,rilot_mode,10,10,0,0.0,36.85287495609373,51.418625051155686,-3.547874977812171,7.517918348376895,cgroup_delta,0.6507095382153087,5.28125,4.06640625,0.0,-0.1875,0,0,0,365.0,0.0,0.0,0.00010054000000000001,8.320000000000002e-06,7.642844019842
latency_first,rilot_mode,10,9,1,10.0,35.679000057280064,53.945167222991586,-1.0213328059762716,7.2447916827660315,cgroup_delta,0.377582872604445,5.5234375,4.1796875,0.0,0.0546875,0,0,0,193.0,172.0,47.12328767123288,6.384e-05,4.502000000000001e-05,41.3558699246739
carbon_first,rilot_mode,10,10,0,0.0,39.00317479856312,55.284625152125955,0.31812512315809727,9.448181242771954,cgroup_delta,2.580972432610367,5.35546875,4.265625,0.0,-0.11328125,0,0,0,365.0,0.0,0.0,0.00010611,2.7500000000000126e-06,2.5261804152122105
balanced,rilot_mode,10,10,0,0.0,37.28643781505525,47.290541930124164,-7.675958098843694,7.4176499041648425,cgroup_delta,0.550441094003256,5.88671875,4.59765625,0.0,0.41796875,0,0,0,365.0,0.0,0.0,0.00010265,6.21000000000001e-06,5.704574683079193
