scenario,kind,requests,ok_count,error_count,error_rate_percent,latency_avg_ms,latency_p95_ms,latency_p95_delta_ms_vs_baseline,cpu_percent_sample,cpu_sample_method,cpu_delta_percent_vs_baseline,memory_mb_sample,memory_current_mb_sample,memory_peak_delta_mb,memory_delta_mb_vs_baseline,cross_region_reroutes,east_to_west_reroutes,west_to_east_reroutes,carbon_exposure_mean_g_per_kwh,carbon_exposure_saved_g_per_kwh_vs_baseline,carbon_exposure_saved_percent_vs_baseline,co2e_estimated_total_g,co2e_saved_g_vs_baseline,co2e_saved_percent_vs_baseline
baseline_no_carbon_balanced,rilot_mode,40,40,0,0.0,36.78738223970868,51.32312490604818,0.0,4.855305911264884,cgroup_delta,0.0,5.921875,4.71875,0.0,0.0,0,0,0,428.07983699450006,0.0,0.0,0.0005824900000000001,0.0,0.0
baseline_no_carbon_latency_first,rilot_mode,40,38,2,5.0,38.880959298694506,53.49604203365743,2.172917127609253,5.473545456710901,cgroup_delta,0.6182395454460163,5.2421875,4.68359375,0.0,-0.6796875,0,0,0,429.64597728925,-1.566140294749971,-0.3658523853273876,0.00060316,-2.0669999999999977e-05,-3.5485587735411723
baseline_no_carbon_strict_local,rilot_mode,40,40,0,0.0,36.908017651876435,53.58966696076095,2.2665420547127724,4.879646823979638,cgroup_delta,0.024340912714753138,5.65625,4.265625,0.0,-0.265625,0,0,0,430.66636591224994,-2.586528917749888,-0.6042164788488087,0.00060399,-2.1499999999999926e-05,-3.6910504901371564
latency_first,rilot_mode,40,40,0,0.0,38.63185002701357,52.226874977350235,0.9037500713020563,5.094930712945324,cgroup_delta,0.23962480168043943,5.84765625,4.56640625,0.0,-0.07421875,0,0,0,431.179319728,-3.09948273349994,-0.724043149348275,0.00060467,-2.21799999999999e-05,-3.8077906916856765
carbon_first,rilot_mode,40,40,0,0.0,28.267082234378904,33.68829097598791,-17.634833930060267,6.107730234735946,cgroup_delta,1.252424323471062,5.51953125,4.15234375,0.0,-0.40234375,20,0,20,115.2942863105,312.78555068400004,73.06710656592281,9.988e-05,0.00048261000000000007,82.85292451372555
balanced,rilot_mode,40,40,0,0.0,28.66541765979491,34.30537506937981,-17.017749836668372,6.10951285557256,cgroup_delta,1.2542069443076755,5.7109375,4.546875,0.0,-0.2109375,20,0,20,115.4231630975,312.6566738970001,73.0370007828743,0.00010173,0.00048076000000000005,82.53532249480678
carbon_first_provider_timeout,rilot_mode,40,40,0,0.0,28.8579958549235,35.49674991518259,-15.826374990865588,5.813539471921295,cgroup_delta,0.958233560656411,5.45703125,4.76953125,0.0,-0.46484375,20,0,20,120.0,308.07983699450006,71.96784580126307,0.0001071,0.00047539000000000007,81.61341825610741
