scenario,kind,requests,ok_count,error_count,error_rate_percent,latency_avg_ms,latency_p95_ms,latency_p95_delta_ms_vs_baseline,cpu_percent_sample,cpu_delta_percent_vs_baseline,memory_mb_sample,memory_delta_mb_vs_baseline,cross_region_reroutes,east_to_west_reroutes,west_to_east_reroutes,carbon_exposure_mean_g_per_kwh,carbon_exposure_saved_g_per_kwh_vs_baseline,carbon_exposure_saved_percent_vs_baseline,co2e_estimated_total_g,co2e_saved_g_vs_baseline,co2e_saved_percent_vs_baseline
baseline_no_carbon_balanced,rilot_mode,300,298,2,0.6666666666666667,38.73881538476174,53.060416830703616,0.0,0.0,0.0,2.785,0.0,0,0,0,338.5711591929333,0.0,0.0,0.00288303,0.0,0.0
baseline_no_carbon_latency_first,rilot_mode,300,292,8,2.666666666666667,38.053194171128176,52.69899987615645,-0.3614169545471668,0.0,0.0,3.027,0.242,0,0,0,339.19639509483335,-0.6252359019000551,-0.18466897871350202,0.00282196,6.106999999999987e-05,2.1182575276705364
baseline_no_carbon_strict_local,rilot_mode,300,295,5,1.6666666666666667,38.66134835019087,52.18729097396135,-0.8731258567422628,0.0,0.0,2.793,0.008000000000000007,0,0,0,339.8939899540333,-1.3228307611000218,-0.3907098183593992,0.0028953900000000003,-1.2360000000000322e-05,-0.4287156221059206
latency_first,rilot_mode,300,298,2,0.6666666666666667,32.0143104204908,46.92933312617242,-6.131083704531193,0.0,0.0,2.824,0.0389999999999997,117,0,117,387.8247792638667,-49.25362007093338,-14.547494295834696,0.00275327,0.00012976000000000003,4.500820317513173
carbon_first,rilot_mode,300,297,3,1.0,38.58724860552078,52.91724996641278,-0.14316686429083347,0.0,0.0,2.785,0.0,0,0,0,341.36303651163337,-2.791877318700074,-0.824605771311175,0.00289266,-9.630000000000055e-06,-0.3340235793592178
balanced,rilot_mode,300,296,4,1.3333333333333335,38.327843031535544,52.52112494781613,-0.5392918828874826,0.0,0.0,2.758,-0.027000000000000135,0,0,0,147.48524479366668,191.0859143992666,56.43892257532105,0.0015618899999999998,0.0013211400000000002,45.82470525800981
carbon_first_provider_timeout,rilot_mode,300,298,2,0.6666666666666667,38.54026627028361,52.67195892520249,-0.38845790550112724,0.0,0.0,2.852,0.06699999999999973,0,0,0,362.90133820393334,-24.33017901100004,-7.186134539337886,0.0030656800000000003,-0.00018265000000000035,-6.335348574243083
