scenario,kind,requests,ok_count,error_count,error_rate_percent,latency_avg_ms,latency_p95_ms,latency_p95_delta_ms_vs_baseline,cpu_percent_sample,cpu_sample_method,cpu_delta_percent_vs_baseline,memory_mb_sample,memory_current_mb_sample,memory_peak_delta_mb,memory_delta_mb_vs_baseline,cross_region_reroutes,east_to_west_reroutes,west_to_east_reroutes,expected_cross_hits,expected_cross_eligible_requests,expected_cross_to_green_rate_percent,carbon_exposure_mean_g_per_kwh,carbon_exposure_saved_g_per_kwh_vs_baseline,carbon_exposure_saved_percent_vs_baseline,co2e_estimated_total_g,co2e_saved_g_vs_baseline,co2e_saved_percent_vs_baseline
carbon_first,rilot_mode,300,296,4,1.3333333333333335,45.378671951281525,52.86054196767509,0.7594579365104437,3.4064118578560647,cgroup_delta,-0.7112357759867232,5.6171875,5.02734375,0.0,-0.28515625,137,137,0,0,150,0.0,329.1825120223333,64.32765706420003,16.347139697437985,0.00346768,-0.00019108999999999966,-5.83197775736359
balanced,rilot_mode,300,296,4,1.3333333333333335,29.06493610624845,34.658666932955384,-17.442417098209262,4.834053783675947,cgroup_delta,0.7164061498331593,5.890625,4.453125,0.0,-0.01171875,149,1,148,148,150,98.66666666666667,28.350954299733335,365.15921478679996,92.79536933809226,0.00018327,0.00309332,94.40668499873344
latency_first,rilot_mode,300,297,3,1.0,30.12497902304555,35.55208304896951,-16.54900098219514,4.87602611922065,cgroup_delta,0.7583784853778619,5.1484375,4.8984375,0.0,-0.75390625,143,0,143,143,150,95.33333333333334,461.4115543673333,-67.90138528079996,-17.255306371985615,0.00314319,0.0001334000000000001,4.071305839302449
carbon_first_provider_timeout,rilot_mode,300,293,7,2.3333333333333335,46.09725540348639,53.614583099260926,1.51349906809628,4.1270293525886155,cgroup_delta,0.009381718745827605,5.3125,4.6796875,0.0,-0.58984375,144,144,0,0,150,0.0,301.3,92.21016908653331,23.432728384271105,0.00323529,4.130000000000019e-05,1.2604567553462651
explicit_cross_region_to_green,rilot_mode,300,297,3,1.0,38.04798383886615,52.334834123030305,0.23375009186565876,3.997072697600427,cgroup_delta,-0.12057493624236093,5.6796875,4.46875,0.0,-0.22265625,8,8,0,0,150,0.0,389.80536428746666,3.7048047990666646,0.9414762540105981,0.00328392,-7.329999999999837e-06,-0.22370818442343524
baseline_no_carbon_strict_local,rilot_mode,300,292,8,2.666666666666667,37.656566658988595,52.24675009958446,0.1456660684198141,4.187259994354245,cgroup_delta,0.06961236051145736,5.3984375,4.3671875,0.0,-0.50390625,0,0,0,0,150,0.0,393.89360491456665,-0.38343582803332765,-0.09743987783680622,0.0032602100000000004,1.6379999999999867e-05,0.499909967374614
baseline_no_carbon_latency_first,rilot_mode,300,300,0,0.0,37.52943252135689,50.98329205065966,-1.1177919805049896,4.20261294881398,cgroup_delta,0.08496531497119175,5.48828125,4.9296875,0.0,-0.4140625,0,0,0,0,150,0.0,393.7365305211,-0.22636143456668378,-0.05752365563821215,0.0032622600000000003,1.4329999999999898e-05,0.43734492261771835
baseline_no_carbon_balanced,rilot_mode,300,294,6,2.0,37.75162819462518,52.101084031164646,0.0,4.117647633842788,cgroup_delta,0.0,5.90234375,4.46484375,0.0,0.0,0,0,0,0,150,0.0,393.5101690865333,0.0,0.0,0.0032765900000000002,0.0,0.0
