scenario,kind,requests,ok_count,error_count,error_rate_percent,latency_avg_ms,latency_p95_ms,latency_p95_delta_ms_vs_baseline,cpu_percent_sample,cpu_sample_method,cpu_delta_percent_vs_baseline,memory_mb_sample,memory_current_mb_sample,memory_peak_delta_mb,memory_delta_mb_vs_baseline,cross_region_reroutes,east_to_west_reroutes,west_to_east_reroutes,expected_cross_hits,expected_cross_eligible_requests,expected_cross_to_green_rate_percent,carbon_exposure_mean_g_per_kwh,carbon_exposure_mean_source,carbon_exposure_saved_g_per_kwh_vs_baseline,carbon_exposure_saved_percent_vs_baseline,co2e_estimated_total_g,co2e_saved_g_vs_baseline,co2e_saved_percent_vs_baseline
carbon_first,rilot_mode,1000,993,7,0.7000000000000001,95.96559025418537,131.24008300655987,45.18716600432526,0.6099362183880481,cgroup_delta,-0.011251478343488941,10.19921875,9.08984375,2.46875,1.921875,422,265,121,0,0,0.0,243.2063041289023,request_headers,346.77079556590957,58.77699248755418,0.015494979999999997,0.019065450000000005,55.16554626201121
balanced,rilot_mode,1000,988,12,1.2,91.39392150320054,128.8172500062501,42.7643330040155,0.630073662130159,cgroup_delta,0.008885965398621964,8.4453125,7.13671875,1.2578125,0.16796875,382,111,148,0,0,0.0,389.0943410931174,request_headers,200.88275860169443,34.0492467768001,0.023463609999999996,0.011096820000000007,32.10845466911149
latency_first,rilot_mode,1000,982,18,1.7999999999999998,74.3812538649363,86.70020799036138,0.6472909881267697,0.6198631316251592,cgroup_delta,-0.0013245651063779063,8.09375,7.62890625,1.6953125,-0.18359375,0,0,0,0,0,0.0,447.25097963340124,request_headers,142.7261200614106,24.191806789660333,0.02633278,0.008227650000000003,23.80656143456549
carbon_first_provider_timeout,rilot_mode,1000,986,14,1.4000000000000001,93.67168256524019,130.86383399786428,44.81091699562967,0.6906839010381359,cgroup_delta,0.06949620430659886,7.67578125,5.80078125,0.0,-0.6015625,391,99,99,0,0,0.0,349.59432048681543,request_headers,240.3827792079964,40.74442539080645,0.021771940000000004,0.01278849,37.00327223937896
explicit_cross_region_to_green,rilot_mode,1000,983,17,1.7000000000000002,92.71568072291848,129.54762499430217,43.49470799206756,0.6337354676085347,cgroup_delta,0.012547770876997655,8.41015625,7.37109375,0.79296875,0.1328125,358,208,100,0,0,0.0,255.69344557477112,request_headers,334.28365412004075,56.66044568390226,0.016012460000000003,0.01854797,53.66822692888948
baseline_no_carbon_strict_local,rilot_mode,1000,989,11,1.0999999999999999,72.47288570681121,86.34579100180417,0.29287399956956506,0.560174395396678,cgroup_delta,-0.06101330133485905,7.2109375,5.44140625,0.0,-1.06640625,0,0,0,0,0,0.0,587.7527229524773,request_headers,2.2243767423345844,0.37702764115509363,0.03447129,8.914000000000144e-05,0.25792503160406693
baseline_no_carbon_latency_first,rilot_mode,1000,979,21,2.1,72.6457115921512,86.3507909962209,0.2978739939862862,0.599695481112007,cgroup_delta,-0.021492215619530075,8.01953125,7.08984375,1.640625,-0.2578125,0,0,0,0,0,0.0,587.6425791624106,request_headers,2.334520532401257,0.39569680477579156,0.03456566,-5.229999999994961e-06,-0.015132913566165005
baseline_no_carbon_balanced,rilot_mode,1000,983,17,1.7000000000000002,72.35861065583595,86.05291700223461,0.0,0.6211876967315371,cgroup_delta,0.0,8.27734375,7.328125,1.890625,0.0,0,0,0,0,0,0.0,589.9770996948118,request_headers,0.0,0.0,0.03456043,0.0,0.0
