scenario,kind,requests,ok_count,error_count,error_rate_percent,latency_avg_ms,latency_p95_ms,latency_p95_delta_ms_vs_baseline,cpu_percent_sample,cpu_sample_method,cpu_delta_percent_vs_baseline,memory_mb_sample,memory_current_mb_sample,memory_peak_delta_mb,memory_delta_mb_vs_baseline,cross_region_reroutes,east_to_west_reroutes,west_to_east_reroutes,carbon_exposure_mean_g_per_kwh,carbon_exposure_saved_g_per_kwh_vs_baseline,carbon_exposure_saved_percent_vs_baseline,co2e_estimated_total_g,co2e_saved_g_vs_baseline,co2e_saved_percent_vs_baseline
baseline_no_carbon_balanced,rilot_mode,10,9,1,10.0,71.1415917146951,82.75312487967312,0.0,2.9885810504331154,cgroup_delta,0.0,7.23046875,3.94140625,0.0,0.0,0,0,0,435.0,0.0,0.0,0.00025016000000000003,0.0,0.0
baseline_no_carbon_latency_first,rilot_mode,10,10,0,0.0,72.53275397233665,86.0444160643965,3.2912911847233772,2.866797425852349,cgroup_delta,-0.12178362458076641,6.9453125,4.734375,0.0,-0.28515625,0,0,0,435.0,0.0,0.0,0.00025431,-4.149999999999965e-06,-1.6589382795011054
baseline_no_carbon_strict_local,rilot_mode,10,10,0,0.0,71.64647066965699,86.80958300828934,4.056458128616214,2.8303303169620033,cgroup_delta,-0.15825073347111207,6.14453125,3.96484375,0.0,-1.0859375,0,0,0,435.0,0.0,0.0,0.00025229,-2.1299999999999813e-06,-0.8514550687559885
latency_first,rilot_mode,10,10,0,0.0,74.31277502328157,85.03933297470212,2.2862080950289965,2.7805244373096714,cgroup_delta,-0.20805661312344403,6.72265625,4.67578125,0.0,-0.5078125,0,0,0,373.0,62.0,14.25287356321839,0.00022517000000000001,2.4990000000000017e-05,9.98960665174289
carbon_first,rilot_mode,10,10,0,0.0,77.20937917474657,88.25208293274045,5.4989580530673265,2.7514872330866296,cgroup_delta,-0.23709381734648582,8.03515625,4.2734375,0.0,0.8046875,0,0,0,339.0,96.0,22.06896551724138,0.00021303,3.713000000000002e-05,14.842500799488334
balanced,rilot_mode,10,9,1,10.0,76.6443959902972,84.75266699679196,1.9995421171188354,2.5761284599967307,cgroup_delta,-0.4124525904363847,6.53515625,4.5546875,0.0,-0.6953125,0,0,0,366.0,69.0,15.862068965517242,0.00022831000000000001,2.1850000000000016e-05,8.734409977614332
